ZCTA5CE10,INTPTLAT10,INTPTLON10,STUSPS
"24059","+37.1637255","-080.1304844",VA
"20045","+38.8967315","-077.0307978",DC
"20052","+38.9001263","-077.0469809",DC
"20053","+38.8841216","-077.0112238",DC
"20057","+38.9091201","-077.0757351",DC
"20064","+38.9363636","-076.9991944",DC
"20202","+38.8870708","-077.0210103",DC
"20204","+38.8855585","-077.0144293",DC
"20228","+38.8864117","-077.0302819",DC
"20230","+38.8937940","-077.0327979",DC
"20240","+38.8944563","-077.0426047",DC
"20245","+38.8933396","-077.0444595",DC
"20260","+38.8836690","-077.0250359",DC
"20307","+38.9749659","-077.0304706",DC
"20317","+38.9348414","-077.0143869",DC
"20319","+38.8648375","-077.0170027",DC
"24060","+37.2554769","-080.4225368",VA
"24064","+37.3763112","-079.7703953",VA
"20373","+38.8586251","-077.0078652",DC
"20390","+38.8790191","-076.9936955",DC
"20405","+38.8963769","-077.0425882",DC
"20418","+38.8928004","-077.0477644",DC
"20427","+38.9020575","-077.0475580",DC
"20506","+38.8970713","-077.0387279",DC
"20510","+38.8927801","-077.0068900",DC
"20520","+38.8947592","-077.0484070",DC
"20535","+38.8944668","-077.0248443",DC
"20540","+38.8879292","-077.0047135",DC
"20551","+38.8928021","-077.0457999",DC
"20553","+38.8869455","-077.0229684",DC
"20560","+38.8882330","-077.0259190",DC
"20565","+38.8906304","-077.0192113",DC
"20566","+38.8955701","-077.0551275",DC
"20593","+38.8667133","-077.0101869",DC
"24065","+37.1171179","-079.9971077",VA
"24066","+37.5369094","-079.6811913",VA
"24067","+37.0323543","-080.0603195",VA
"24070","+37.3560826","-080.2258896",VA
"24072","+37.0419899","-080.2423807",VA
"24473","+37.9347473","-079.4153585",VA
"24474","+37.8056124","-079.8455296",VA
"24476","+37.9744658","-079.2273608",VA
"24477","+38.0048779","-079.0422325",VA
"24479","+38.1639444","-079.2390438",VA
"24482","+38.2059355","-078.9966756",VA
"24483","+37.7889244","-079.2510419",VA
"24485","+38.2676027","-079.3330241",VA
"24486","+38.2968851","-078.9245335",VA
"24487","+38.1836535","-079.5976059",VA
"24501","+37.3597406","-079.1412719",VA
"24502","+37.3604015","-079.2215793",VA
"24503","+37.4540155","-079.2497358",VA
"24504","+37.3652485","-079.0481922",VA
"24517","+37.1475157","-079.2371598",VA
