,ZCTA5CE10,ct_06:00,ct_06:30,ct_07:00,ct_07:30,ct_08:00,ct_08:30,ct_09:00,ct_09:30
56,20171,32.160000000000004,32.0466,33.7666,38.0202,40.3168,39.40660000000001,37.0366,40.1232
57,22205,12.5298,12.7632,12.7832,13.1198,14.2768,14.87,15.3964,13.63
58,22206,9.5598,9.8166,10.8334,12.1032,12.6932,13.2434,12.5536,11.1532
59,22207,13.71,13.8666,13.7202,14.2534,14.7634,15.5966,16.41,14.8366
60,22209,8.609800000000002,8.7734,8.78,9.239999999999998,9.7934,10.36,10.6698,10.1332
61,22301,9.12,8.870000000000003,9.1834,10.3566,11.7798,12.4432,11.2932,10.4532
62,22302,10.38,10.8034,12.2768,14.4464,14.810199999999998,15.0598,13.4332,11.9064
63,22303,18.0866,18.2532,20.3564,24.1766,25.6468,25.14,21.7064,20.5668
64,20190,28.2668,28.3666,28.7,31.5168,34.6266,34.459999999999994,31.3302,30.9034
65,20191,29.6366,29.850199999999994,30.279999999999994,33.3798,35.84,35.8034,32.8134,32.6968
66,22003,22.3934,25.5266,28.5166,35.7166,34.5834,32.1234,25.8566,23.7234
67,22015,27.17,31.3532,37.6634,41.62,42.17,37.0564,30.8568,29.5834
68,22030,27.4202,29.2202,31.093200000000003,34.7966,38.2966,37.86,34.0236,33.27
69,22304,16.1432,18.7966,22.4232,28.84,27.92,25.6232,19.823600000000006,17.330000000000002
70,22305,6.683399999999999,6.4468000000000005,6.7067999999999985,7.6,8.6868,8.9866,8.163400000000001,7.2766
71,22306,28.8798,30.4068,34.3836,38.24,38.77,36.71,33.5534,33.7732
72,22307,17.63,17.6766,19.9566,23.7632,25.0434,24.71,21.5,20.24
73,22102,22.7534,22.8166,23.29,25.6534,27.8932,28.64,25.37,25.24
74,22124,33.2366,35.36,38.39999999999999,42.34680000000001,45.0868,43.4232,39.7868,43.9066
75,22150,18.8534,22.9132,27.2134,31.8702,31.636600000000005,29.43,22.2202,20.0732
76,22151,21.5836,25.49,30.71660000000001,35.8334,35.00980000000001,32.4902,25.3366,23.1566
77,22152,22.85,26.5434,31.6232,37.2832,36.1368,33.366600000000005,26.2968,24.2534
78,22153,25.2602,29.190000000000005,33.89,38.96,38.8668,35.80980000000001,28.7666,26.49
79,22031,23.503200000000003,23.7432,24.56,27.34,29.7768,30.3168,27.07,26.8598
80,22032,28.059800000000006,33.53000000000001,39.5534,43.2666,44.3566,39.13680000000001,31.92,30.7498
81,22041,16.5366,17.3834,18.943400000000004,21.9934,22.65,22.42,20.0998,18.6564
82,22042,19.4068,19.82,21.43,24.3702,25.4532,26.2766,23.023200000000006,21.68
83,22043,15.460000000000004,15.55,15.8068,17.79,19.6064,19.8268,18.12,17.4602
84,22044,16.163400000000006,16.103199999999998,17.1602,19.5636,20.8168,21.163400000000006,18.9102,17.576600000000006
85,22180,24.5802,25.1134,25.663,28.46660000000001,30.9566,31.9434,28.5232,28.33
86,22181,29.6866,30.4234,31.8666,36.74980000000001,38.7868,37.8766,35.2932,37.21660000000001
87,22182,24.5466,24.7368,25.1998,27.553,29.7468,30.476800000000004,27.3036,27.200199999999995
88,22046,17.519799999999996,17.666800000000006,18.1034,20.3402,23.1532,22.4934,20.5236,20.11
89,22191,44.7368,52.0366,57.6066,58.1732,53.0634,45.8434,38.9766,38.6436
90,22192,40.1902,50.71659999999999,56.2402,57.4768,52.8434,45.4434,39.3032,38.2934
91,22201,9.82,10.03,10.3764,10.7636,10.94,11.2666,11.3434,11.153199999999998
92,22202,0.5466000000000001,0.5635999999999999,0.583,0.6102000000000001,0.6602,0.6766,0.6934000000000001,0.6902000000000001
93,22203,11.723400000000002,11.8868,12.5036,14.1398,15.2434,15.8868,14.48,13.25
94,22204,9.3532,9.4934,10.0766,10.5702,10.8032,11.286399999999995,11.28,11.1168
95,20016,17.6468,18.009999999999994,18.3,19.2,21.6268,23.3632,22.8634,21.6
96,20017,18.4966,20.9868,22.3766,25.2034,25.7068,27.2166,26.25,25.51
97,20018,17.6966,19.9732,22.1134,24.2232,24.18,26.4398,26.4598,23.7966
98,20019,18.0032,21.15,23.1568,25.8868,26.0134,26.7202,24.07,21.7202
99,20036,16.753400000000006,17.043200000000002,17.3966,18.3266,18.986600000000006,20.6,23.2034,23.68
100,20037,10.683599999999998,10.79,10.9102,11.1898,11.7932,12.1634,12.330000000000002,12.0202
101,20005,13.1732,13.429999999999998,12.7434,13.15,12.859800000000002,13.1934,13.9064,14.2668
102,20007,16.1502,16.5034,16.7334,17.4998,18.6532,20.1098,19.5234,19.4366
103,20008,20.7366,21.2434,21.6534,22.6736,24.0366,26.3034,30.4166,29.8132
104,20009,20.2598,21.543199999999995,22.9866,24.8134,26.616999999999997,27.5302,27.6034,27.9668
105,20010,21.1668,22.9864,24.7332,26.9732,29.7234,30.510200000000005,30.8534,31.1436
106,20011,21.1132,23.9432,25.32,28.0536,28.7232,29.9668,29.2502,28.6668
107,20012,28.343200000000003,31.7834,33.529999999999994,37.6336,39.2432,40.1134,37.7398,37.7
108,20015,28.7966,31.9236,33.3866,36.47,38.75019999999999,38.49,37.24679999999999,37.4234
109,20020,12.9668,14.7602,15.98,19.9432,20.5236,21.9898,19.423,16.7468
110,20024,6.803400000000001,6.9866,6.92,7.2734,7.683400000000002,7.819800000000001,8.0866,7.783199999999999
111,20001,9.1868,10.080000000000002,10.463399999999998,12.01,11.9766,12.4466,11.64,11.206599999999998
112,20032,12.246399999999998,14.04,14.9034,18.876600000000003,19.3468,20.76,18.6498,15.573399999999998
113,20002,16.1966,18.3,19.82,22.7666,22.7468,24.56,24.6234,22.3664
114,20003,7.7799999999999985,9.0966,10.2532,12.856599999999995,12.3468,13.006599999999995,11.3602,9.886599999999998
