,ZCTA5CE10,zhvi_sfh,zhvi_mfh,zhvi_1bd,zhvi_2bd,zhvi_3bd,zhvi_4bd,zhvi_5bd,zri_all
68,22030,628035.0,347347.0,256845.0,354118.0,551758.0,692249.0,844156.0,2050.0
69,22304,618145.0,258460.0,208813.0,287701.0,585333.0,728909.0,958766.0,1800.0
70,22305,682936.0,247868.0,227469.0,609504.0,661318.0,941590.0,1158131.0,1814.0
71,22306,515889.0,278206.0,168500.0,340086.0,468505.0,576798.0,667038.0,2041.0
72,22307,757365.0,250813.0,193956.0,273372.0,646273.0,815607.0,927770.0,2337.0
73,22102,1310293.0,380553.0,297980.0,421400.0,688558.0,1242328.0,1695498.0,2578.0
74,22124,847217.0,292862.0,236166.0,312317.0,588347.0,863164.0,1206650.0,2236.0
75,22150,506518.0,214873.0,197536.0,412000.0,486076.0,536202.0,602591.0,2147.0
76,22151,541231.0,454932.0,543939.0,511021.0,501192.0,557478.0,596926.0,2059.0
77,22152,549328.0,266083.0,187699.0,282957.0,469804.0,600525.0,641331.0,2031.0
78,22153,566259.0,433359.0,501447.0,348941.0,447230.0,638616.0,684126.0,2300.0
79,22031,698297.0,329721.0,259685.0,390245.0,531227.0,787926.0,862758.0,2226.0
80,22032,628731.0,457835.0,542738.0,463727.0,478711.0,646089.0,699001.0,2258.0
81,22041,643670.0,274948.0,225840.0,309118.0,526021.0,742258.0,823919.0,2167.0
82,22042,601046.0,304502.0,281825.0,379132.0,576196.0,629971.0,709142.0,2081.0
83,22043,754307.0,301838.0,219843.0,393971.0,642128.0,824081.0,1111356.0,2298.0
84,22044,733401.0,192991.0,176841.0,228090.0,667978.0,770237.0,867340.0,2186.0
85,22180,784382.0,383132.0,326483.0,457342.0,723167.0,778713.0,1209783.0,2371.0
86,22181,843601.0,349835.0,294470.0,410621.0,643391.0,872127.0,941037.0,2433.0
87,22182,900588.0,485622.0,848299.0,513804.0,752050.0,903024.0,1061743.0,2705.0
88,22046,858416.0,361337.0,267481.0,413566.0,772605.0,913295.0,1269365.0,2236.0
89,22191,345014.0,317309.0,286062.0,296952.0,326075.0,400691.0,428234.0,1857.0
90,22192,390069.0,211182.0,158565.0,224435.0,332340.0,482410.0,545973.0,1943.0
91,22201,1134819.0,465088.0,410648.0,652142.0,1031217.0,1256961.0,1685766.0,2209.0
92,22202,935724.0,513925.0,396223.0,624587.0,870450.0,1068722.0,1266142.0,2343.0
93,22203,857855.0,426595.0,375520.0,609826.0,833796.0,908908.0,1128486.0,2302.0
94,22204,694907.0,302324.0,277475.0,425879.0,691263.0,825584.0,885425.0,2065.0
95,20016,1323591.0,442276.0,362607.0,640353.0,1127193.0,1399884.0,2021531.0,2582.0
96,20017,605248.0,383506.0,289908.0,477195.0,584735.0,718904.0,835376.0,1916.0
97,20018,611766.0,335473.0,288481.0,496170.0,585198.0,677565.0,740374.0,2225.0
98,20019,383252.0,171725.0,138069.0,353821.0,389638.0,433059.0,465036.0,1734.0
99,20036,856100.0,387961.0,403749.0,629783.0,1407297.0,2032958.0,2180377.0,2271.0
100,20037,955656.0,599087.0,482214.0,964292.0,1645447.0,1606651.0,1894774.0,2587.0
101,20005,751913.0,526376.0,461882.0,716644.0,1025382.0,1488418.0,2019593.0,2474.0
102,20007,1423071.0,464992.0,360720.0,861503.0,1222673.0,1620026.0,2294348.0,2764.0
103,20008,1684379.0,466302.0,392555.0,644522.0,1321486.0,1670543.0,2268851.0,2391.0
104,20009,1048466.0,546440.0,450344.0,690058.0,1027101.0,1336731.0,1591308.0,2618.0
105,20010,817279.0,522475.0,390473.0,613290.0,774301.0,920341.0,1119744.0,2452.0
106,20011,703998.0,417017.0,311341.0,518873.0,672398.0,764943.0,960580.0,2039.0
107,20012,786293.0,438078.0,329781.0,523187.0,702481.0,890319.0,980954.0,2040.0
108,20015,1166717.0,363508.0,313628.0,901177.0,1066909.0,1201343.0,1502919.0,2237.0
109,20020,410120.0,161411.0,118419.0,311296.0,404139.0,491895.0,529807.0,1719.0
110,20024,725311.0,448488.0,398143.0,648492.0,765953.0,1016410.0,1093813.0,2425.0
111,20001,859004.0,571394.0,496113.0,690211.0,843278.0,1000819.0,1132617.0,2610.0
112,20032,360497.0,157132.0,181843.0,286805.0,361422.0,381501.0,411846.0,1755.0
113,20002,752335.0,497733.0,429444.0,616577.0,751441.0,853421.0,1028867.0,2325.0
114,20003,890718.0,551576.0,472876.0,734332.0,900812.0,1117143.0,1645064.0,2420.0
