ZCTA5CE10,ct_06:00,ct_06:30,ct_07:00,ct_07:30,ct_08:00,ct_08:30,ct_09:00,ct_09:30,zhvi_sfh,zhvi_mfh,zhvi_1bd,zhvi_2bd,zhvi_3bd,zhvi_4bd,zhvi_5bd,zri_all,venue_count
22311,12.3502,13.360000000000005,15.35,19.1402,18.7934,18.1966,15.6334,13.53,639289.0,314190.0,254607.0,351928.0,620382.0,711962.0,720233.0,2052.0,13
22312,15.079999999999998,17.589999999999996,20.906600000000005,27.5768,26.0966,23.7498,18.19,15.723400000000002,548018.0,225730.0,180902.0,326107.0,514882.0,617734.0,721043.0,2074.0,2
22314,12.0166,11.8268,12.48,14.4402,16.2868,16.4232,14.7,13.8868,843413.0,462990.0,327538.0,641475.0,893051.0,1121861.0,1564308.0,2133.0,72
22315,22.88000000000001,26.81,31.2134,36.4134,35.94320000000001,33.8802,26.6036,24.0832,541741.0,349300.0,247205.0,372129.0,524334.0,616542.0,749240.0,2245.0,4
20147,43.17,43.4768,45.8366,51.6032,53.75,50.25,46.9598,49.2732,583009.0,347781.0,222225.0,354714.0,461377.0,669342.0,746964.0,2176.0,21
20151,35.457,38.4668,43.3168,48.4068,51.21660000000001,49.0434,44.60999999999999,48.1934,615740.0,272506.0,238581.0,265778.0,450828.0,683158.0,734684.0,1958.0,22
20152,38.09,42.14659999999999,48.3734,54.8266,56.47000000000001,52.1866,48.25980000000001,51.0,621578.0,386838.0,544342.0,311327.0,461633.0,687638.0,784880.0,2232.0,4
20164,36.2,38.86659999999999,42.02,48.39,51.4834,49.65339999999999,45.4434,46.50320000000001,437998.0,273952.0,180662.0,262610.0,398316.0,457702.0,475018.0,2029.0,3
20165,40.433400000000006,43.11999999999999,46.40660000000001,51.81660000000001,53.9168,51.51000000000001,48.1668,49.9798,559097.0,340492.0,241970.0,317720.0,461537.0,644571.0,714423.0,2264.0,1
20166,32.84,33.03,34.2366,40.28,42.42659999999999,40.4834,36.0298,39.4132,463485.0,326109.0,580116.0,284557.0,427618.0,522393.0,780220.0,2065.0,1
22079,33.293400000000005,39.1366,43.5966,46.39,44.9766,39.1166,32.91,32.1034,548435.0,278682.0,438949.0,316768.0,446634.0,655710.0,812892.0,1992.0,2
20170,34.940000000000005,35.1798,36.2502,40.50019999999999,42.0732,40.68679999999999,37.8368,41.8502,530412.0,257090.0,215538.0,276406.0,429003.0,579337.0,650525.0,2055.0,3
20171,32.160000000000004,32.0466,33.7666,38.0202,40.3168,39.40660000000001,37.0366,40.1232,665265.0,376354.0,244776.0,365192.0,507937.0,714999.0,806525.0,1988.0,5
22205,12.5298,12.7632,12.7832,13.1198,14.2768,14.87,15.3964,13.63,941385.0,1314904.0,883319.0,821262.0,891457.0,999610.0,1261584.0,2990.0,25
22206,9.5598,9.8166,10.8334,12.1032,12.6932,13.2434,12.5536,11.1532,546067.0,456613.0,389226.0,497972.0,624892.0,707812.0,812560.0,2081.0,41
22207,13.71,13.8666,13.7202,14.2534,14.7634,15.5966,16.41,14.8366,1177823.0,287513.0,260674.0,795091.0,1017574.0,1177086.0,1544506.0,2214.0,1
22209,8.609800000000002,8.7734,8.78,9.239999999999998,9.7934,10.36,10.6698,10.1332,1127209.0,596053.0,433942.0,751519.0,1226656.0,1314569.0,1724375.0,2339.0,38
22301,9.12,8.870000000000003,9.1834,10.3566,11.7798,12.4432,11.2932,10.4532,845416.0,417998.0,302963.0,690545.0,830102.0,1094897.0,1385173.0,1984.0,20
22302,10.38,10.8034,12.2768,14.4464,14.810199999999998,15.0598,13.4332,11.9064,874265.0,309222.0,279747.0,370387.0,569481.0,958595.0,1399352.0,1943.0,23
22303,18.0866,18.2532,20.3564,24.1766,25.6468,25.14,21.7064,20.5668,493391.0,308606.0,269565.0,393816.0,504031.0,549792.0,585653.0,2039.0,12
20190,28.2668,28.3666,28.7,31.5168,34.6266,34.459999999999994,31.3302,30.9034,548828.0,329048.0,272251.0,369766.0,532143.0,571012.0,734062.0,2118.0,4
20191,29.6366,29.850199999999994,30.279999999999994,33.3798,35.84,35.8034,32.8134,32.6968,567375.0,260507.0,224925.0,310136.0,458772.0,666511.0,720508.0,1993.0,5
22003,22.3934,25.5266,28.5166,35.7166,34.5834,32.1234,25.8566,23.7234,628995.0,215216.0,181806.0,228944.0,489118.0,664516.0,725310.0,2058.0,4
22015,27.17,31.3532,37.6634,41.62,42.17,37.0564,30.8568,29.5834,575373.0,307966.0,234813.0,300996.0,447802.0,660627.0,692252.0,2265.0,2
22030,27.4202,29.2202,31.093200000000003,34.7966,38.2966,37.86,34.0236,33.27,628035.0,347347.0,256845.0,354118.0,551758.0,692249.0,844156.0,2050.0,1
22304,16.1432,18.7966,22.4232,28.84,27.92,25.6232,19.823600000000006,17.330000000000002,618145.0,258460.0,208813.0,287701.0,585333.0,728909.0,958766.0,1800.0,32
22305,6.683399999999999,6.4468000000000005,6.706799999999999,7.6,8.6868,8.9866,8.163400000000001,7.2766,682936.0,247868.0,227469.0,609504.0,661318.0,941590.0,1158131.0,1814.0,16
22306,28.8798,30.4068,34.3836,38.24,38.77,36.71,33.5534,33.7732,515889.0,278206.0,168500.0,340086.0,468505.0,576798.0,667038.0,2041.0,1
